market_name,lat,lon
KAPATAGAN PUBLIC MARKET,6.9281757,125.3428634
MARAMAG PUBLIC MARKET,7.7598605,125.0031147
VIGAN CITY PUBLIC MARKET,17.568497,120.3847657
SAGUDAY PUBLIC MARKET,16.5392977,121.5634553
DAO PUBLIC MARKET,9.6555828,123.8720339
DINALUPIHAN PUBLIC MARKET,14.867945,120.4643242
VICTORIA PUBLIC MARKET,15.576676,120.6839984
PILI PUBLIC MARKET,13.5542015,123.2744734
SAN FERNANDO PUBLIC MARKET,7.9186305,125.3298226
ORMOC CITY PUBLIC MARKET,11.0044937,124.6054793
AGORA PUBLIC MARKET (SAN JUAN),14.605135,121.0232518
GABALDON PUBLIC MARKET,15.4513881,121.3403194
PRESIDENT QUIRINO PUBLIC MARKET,6.6995747,124.7294448
SAN LEONARDO PUBLIC MARKET,15.3640049,120.9412228
BAGAC PUBLIC MARKET,14.5950657,120.3916922
PULILAN PUBLIC MARKET,14.902297,120.8670658
TANZA PUBLIC MARKET,14.3916603,120.855713
SAN JOSE PUBLIC MARKET,10.0090891,125.5688024
SURIGAO CITY PUBLIC MARKET,9.788806,125.4980292
BAGUIO CITY PUBLIC MARKET,16.4159165,120.5950115
VIGAN CITY PUBLIC MARKET,17.568497,120.3847657
SAN ANDRES MARKET,14.5695306,120.9890552
ROXAS PUBLIC MARKET,17.1205828,121.6173648
SANTA MARIA PUBLIC MARKET,15.9799119,120.6989541
NEW PUBLIC MARKET (PAMPANGA),15.0248976,120.7011135
LIPA CITY PUBLIC MARKET,13.9435722,121.1609541
TALAVERA PUBLIC MARKET,15.5834947,120.9218643
TANAY PUBLIC MARKET,14.4930663,121.2883716
TIAONG PUBLIC MARKET,13.9684309,121.324725
VIRAC PUBLIC MARKET,13.5783996,124.2292937
LIGAO CITY PUBLIC MARKET,13.2419596,123.5388382
OROQUIETA CITY PUBLIC MARKET,8.4821681,123.8073481
MUNOZ MARKET,14.6569847,121.0199618
LIBERTAD PUBLIC MARKET,8.9439198,125.5034831
CAUAYAN CITY PUBLIC MARKET,16.9410017,121.7675518
TUAO PUBLIC MARKET,17.7346373,121.4592545
ILOILO CENTRAL MARKET,10.6926553,122.5695964
CABANATUAN PUBLIC MARKET,15.4829705,120.9525528
CITY MALL OF ANTIPOLO,14.6258938,121.1204046
PALAUIG PUBLIC MARKET,15.4297525,119.9076493
MOGPOG PUBLIC MARKET,13.4743833,121.859887
DAO PUBLIC MARKET,9.6555828,123.8720339
INITAO PUBLIC MARKET,8.4956976,124.3030065
BANKEROHAN PUBLIC MARKET,7.0687128,125.6007445
SAN FRANCISCO MARKET,8.507457,125.9777881
MURPHY MARKET,14.6155812,121.0623481
CARTIMAR MARKET,14.5501004,120.9961085
QUEZON PUBLIC MARKET,7.712736,125.1146754
CASIGURAN PUBLIC MARKET,12.8730927,124.0069582
BOAC PUBLIC MARKET,13.4476222,121.8386068
PASAY CITY MARKET,14.5469986,120.9981063
LA TRINIDAD PUBLIC MARKET,16.4483924,120.590008
BOCAUE PUBLIC MARKET,14.797723,120.9264409
GUAGUA PUBLIC MARKET,14.9622777,120.6324034
IGUIG PUBLIC MARKET,17.7529659,121.7368099
ILOILO CENTRAL MARKET,10.6926553,122.5695964
JULIAN PASTOR MEMORIAL MARKET,13.7498763,121.0565952
NAVAL MARKET,11.5594448,124.3923781
BAYOMBONG PUBLIC MARKET,16.4864315,121.1466261
TABACO CITY PUBLIC MARKET,13.3570886,123.7307413
ZAMBOANGA CITY PUBLIC MARKET,6.9040609,122.0744276
JARO BIG MARKET,10.7218716,122.5548978
DATU PAGLAS PUBLIC MARKET,6.7427079,124.8660686
BALIWAG PUBLIC MARKET,14.9526801,120.9013686
CITY MALL OF ANTIPOLO,14.6258938,121.1204046
ZAMBOANGA CITY PUBLIC MARKET,6.9040609,122.0744276
TABACO CITY PUBLIC MARKET,13.3570886,123.7307413
LUNA PUBLIC MARKET,16.8536534,120.375285
LAMUT PUBLIC MARKET,16.6516183,121.2176969
KIANGAN PUBLIC MARKET,16.7779451,121.0878445
SAN CARLOS CITY PUBLIC MARKET,15.9334742,120.3455111
TANAY PUBLIC MARKET,14.4930663,121.2883716
TIAONG PUBLIC MARKET,13.9684309,121.324725
LIPA CITY PUBLIC MARKET,13.9435722,121.1609541
NARRA PUBLIC MARKET,9.2713566,118.4086299
TALAVERA PUBLIC MARKET,15.5834947,120.9218643
QUINTA MARKET,14.5963775,120.9825899
APARRI PUBLIC MARKET,18.3544491,121.6414892
NEW PUBLIC MARKET (PAMPANGA),15.0248976,120.7011135
SAN JOSE PUBLIC MARKET,14.6320444,120.9948951
TUPI PUBLIC MARKET,6.3320136,124.9494007
CAPAS PUBLIC MARKET,15.33361,120.5911359
LUPAO PUBLIC MARKET,15.8793728,120.8995435
TANZA PUBLIC MARKET,14.3916603,120.855713
PUERTO GALERA PUBLIC MARKET,13.498814,120.9551584
CARMEN PUBLIC MARKET,8.4802645,124.6368331
PACO MARKET,14.5790712,120.9932986
GUAGUA PUBLIC MARKET,14.9622777,120.6324034
LAGAWE PUBLIC MARKET,16.7997232,121.1246257
QUEZON PUBLIC MARKET,7.712736,125.1146754
CASIGURAN PUBLIC MARKET,16.2799828,122.1225402
KORONADAL PUBLIC MARKET,6.502597,124.8445063
BOCAUE PUBLIC MARKET,14.797723,120.9264409
PILAR PUBLIC MARKET,9.8294787,124.3258956
NEW LAS PINAS CITY PUBLIC MARKET,14.4655368,120.9702026
CAUAYAN CITY PUBLIC MARKET,16.9410017,121.7675518
SAN LEONARDO PUBLIC MARKET,15.3640049,120.9412228
TUMAUINI PUBLIC MARKET,17.2789138,121.8087794
DAET PUBLIC MARKET,14.1167757,122.9557124
LABO PUBLIC MARKET,14.1544883,122.8274176
SAN RAFAEL PUBLIC MARKET,15.0249908,120.9337967
SAN JOSE PUBLIC MARKET,14.6320444,120.9948951
MANKAYAN PUBLIC MARKET,16.8589095,120.7938805
MALOLOS CITY PUBLIC MARKET,14.843832,120.8141487
CASTILLEJOS PUBLIC MARKET,14.9336546,120.2001953
COMMONWEALTH MARKET,14.6952224,121.0865418
BICUTAN MARKET,14.4861011,121.0458695
FLORA PUBLIC MARKET,18.2105956,121.4245437
PALAYAN CITY PUBLIC MARKET,15.5452238,121.086241
SANTIAGO CITY PUBLIC MARKET,7.1495451,125.6573904
AGLIPAY PUBLIC MARKET,16.4890003,121.5874937
PILI PUBLIC MARKET,13.5542015,123.2744734
DIGOS CITY PUBLIC MARKET,6.7484956,125.356663
ORION PUBLIC MARKET,14.6277961,120.5762185
LIMAY PUBLIC MARKET,14.5634494,120.5938165
BUSTOS PUBLIC MARKET,14.951825,120.9172802
IMUS PUBLIC MARKET,14.4229405,120.9407001
TRABAJO MARKET,14.6100436,120.9959446
BALER PUBLIC MARKET,15.7533503,121.5588438
MAYPAJO PUBLIC MARKET,14.6378505,120.9739987
MIDSAYAP PUBLIC MARKET,7.1887981,124.5355638
SAN ILDEFONSO PUBLIC MARKET,15.0792795,120.9419661
QUEZON CENTRAL MARKET,7.712736,125.1146754
BONGAO PUBLIC MARKET,5.0291839,119.7735004
CONCEPCION PUBLIC MARKET,15.3224869,120.6526734
